unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1609919940,2021-01-06 07:59:00,BTC/USD,34768.44,34808.72,34758.65,34808.72,4.05625883,141193.17786099762
1609919880,2021-01-06 07:58:00,BTC/USD,34797.72,34806.51,34748.87,34768.34,4.17337844,145101.44055058958
1609919820,2021-01-06 07:57:00,BTC/USD,34693.71,34801.32,34691.75,34797.80,3.53561010,123031.45313778002
1609919760,2021-01-06 07:56:00,BTC/USD,34723.76,34733.30,34679.84,34690.41,8.48396303,294312.1559355423
1609919700,2021-01-06 07:55:00,BTC/USD,34770.99,34770.99,34696.69,34696.69,1.50895396,52355.7077743924
1609919640,2021-01-06 07:54:00,BTC/USD,34783.77,34820.00,34772.57,34772.57,8.23287715,286278.2969997755
1609919580,2021-01-06 07:53:00,BTC/USD,34728.02,34789.72,34710.80,34788.73,8.89618487,309486.9734725152
1609919520,2021-01-06 07:52:00,BTC/USD,34673.76,34747.83,34639.02,34718.91,8.10242710,281307.437266461
1609919460,2021-01-06 07:51:00,BTC/USD,34663.89,34663.89,34597.75,34645.31,4.22175404,146263.9774595524
1609919400,2021-01-06 07:50:00,BTC/USD,34633.65,34700.00,34591.79,34684.87,12.04919006,417924.59083639225
1609919340,2021-01-06 07:49:00,BTC/USD,34557.82,34643.94,34549.36,34633.75,10.02829827,347317.57520861254
1609919280,2021-01-06 07:48:00,BTC/USD,34638.18,34638.18,34487.11,34523.87,37.54688821,1296263.8874665727
1609919220,2021-01-06 07:47:00,BTC/USD,34774.89,34779.54,34569.93,34604.60,30.39089900,1051664.9035354
1609919160,2021-01-06 07:46:00,BTC/USD,34747.76,34781.06,34660.54,34781.06,18.71630465,650972.915009929
1609919100,2021-01-06 07:45:00,BTC/USD,34954.88,34960.00,34736.16,34736.16,42.77111241,1485704.2040517458
1609919040,2021-01-06 07:44:00,BTC/USD,34922.62,34978.66,34922.62,34953.14,5.87985137,205519.2681148018
1609918980,2021-01-06 07:43:00,BTC/USD,34896.24,34919.65,34878.95,34914.75,2.57429088,89880.72250248
1609918920,2021-01-06 07:42:00,BTC/USD,34858.48,34955.79,34858.48,34949.93,3.70190394,129381.2835697242
1609918860,2021-01-06 07:41:00,BTC/USD,34943.10,34963.68,34833.70,34847.80,36.18612831,1261006.9621212182
1609918800,2021-01-06 07:40:00,BTC/USD,35006.01,35014.86,34924.64,34924.64,7.57866742,264682.2313232288
